# id	name	level	title	reason
989	Laurie Cox	local	School Board Member, District 3	no-trusted-result
990	Rosanne Wood	local	School Board Member, District 4	no-trusted-result
991	Danielle Irwin	local	School Board Member, District 5	no-trusted-result
992	Kevin Adams	local	School Board Chair, District 1	no-trusted-result
993	Paul Fetsko	local	School Board Member, District 2	no-trusted-result
994	Bill Slayton	local	School Board Member, District 3	no-trusted-result
995	Patty Hightower	local	School Board Member, District 4	no-trusted-result
997	Teri Barenborg	local	School Board Chair, District 1	no-trusted-result
998	Jacqueline Rosario	local	School Board Member, District 2	no-trusted-result
999	Gene Posca	local	School Board Member, District 3	no-trusted-result
1001	Brian Barefoot	local	School Board Member, District 5	no-trusted-result
1002	Allison Campbell	local	School Board Chair, District 1	no-trusted-result
1003	Eric Cummings	local	School Board Member, District 2	no-trusted-result
1005	Don Browning	local	School Board Member, District 4	no-trusted-result
1006	Kelly King	local	School Board Member, District 5	no-trusted-result
1007	Cara Reynolds	local	School Board Chair, District 1	no-trusted-result
1009	Ruthie Lohmeyer	local	School Board Member, District 3	search-error: DecodeError: DecodeError('Body collection error: error decoding response body')
1010	Kim Amontree	local	School Board Member, District 4	no-trusted-result
1013	Daryl Johnson	local	County Commissioner, District 2	no-trusted-result
1015	Scott Deonas	local	County Commissioner, District 4	no-trusted-result
1016	Jeral Hall	local	County Commissioner, District 5	no-trusted-result
1017	Ricky Jones	local	County Commissioner, District 1	no-trusted-result
1018	Bert Boldt	local	County Commissioner, District 2	dup:files.nc.gov
1020	Joseph Parrish	local	County Commissioner, District 4	dup:files.nc.gov
1021	Jessica Gay	local	County Commissioner, District 5	no-trusted-result
1028	D. Ray Harrison Jr.	local	County Commissioner, District 2	dup:files.nc.gov
1029	Billy Philman	local	County Commissioner, District 3	dup:files.nc.gov
1030	Ken Philman	local	County Commissioner, District 4	no-trusted-result
1032	Donna Storter-Long	local	County Commissioner, District 1	no-trusted-result
1033	Tim Stanley	local	County Commissioner, District 2	dup:files.nc.gov
1034	Mark Lapp	local	County Commissioner, District 3	no-trusted-result
1035	John Ahern	local	County Commissioner, District 4	no-trusted-result
1036	Jerry Sapp	local	County Commissioner, District 5	no-trusted-result
1037	Mark Hatch	local	County Commissioner, District 1	dup:www.martin.fl.us
1038	James Valentine	local	County Commissioner, District 2	dup:files.nc.gov
1040	Jamie Johnson	local	County Commissioner, District 4	dup:files.nc.gov
1044	Donnie Browning	local	County Commissioner, District 3	dup:sumtercountyfl.gov
1045	James Sullivan	local	County Commissioner, District 4	dup:files.nc.gov
1046	Noel Roberts	local	County Commissioner, District 5	no-trusted-result
1047	Doyle Brown	local	County Commissioner, District 1	dup:www.martin.fl.us
1048	Jim Johnson	local	County Commissioner, District 2	dup:files.nc.gov
1049	David Crummie	local	County Commissioner, District 3	dup:files.nc.gov
1050	Davis Stoutamire	local	County Commissioner, District 4	dup:files.nc.gov
1051	Dexter Barber	local	County Commissioner, District 5	dup:files.nc.gov
1054	Alfred Martin	local	County Commissioner, District 3	dup:files.nc.gov
1056	Rick Davis	local	County Commissioner, District 5	no-trusted-result
1057	Wayne Smith	local	County Commissioner, District 1	dup:www.martin.fl.us
1058	Channing Dobbs	local	County Commissioner, District 2	dup:files.nc.gov
1059	Ross Chandler	local	County Commissioner, District 3	dup:files.nc.gov
1060	Willie Whitehead	local	County Commissioner, District 4	dup:files.nc.gov
1061	Jimmy Tallman	local	County Commissioner, District 5	dup:sumtercountyfl.gov
1062	Robert Brown	local	County Commissioner, District 1	no-trusted-result
1063	Randy Ogburn	local	County Commissioner, District 2	no-trusted-result
1065	Buster Oxendine	local	County Commissioner, District 4	dup:files.nc.gov
1066	Beth Burnam	local	County Commissioner, District 5	no-trusted-result
1067	Christia Li Roberts	local	School Board Chair, District 1	no-trusted-result
1068	Donna Powers	local	School Board Member, District 2	no-trusted-result
1077	Donna Martin	local	School Board Chair, District 1	no-trusted-result
1080	Jonathan Wagner	local	School Board Member, District 4	no-trusted-result
1082	Janice Kerekes	local	School Board Chair, District 1	no-trusted-result
1083	Erin Skipper	local	School Board Member, District 2	no-trusted-result
1085	Mary Bolla	local	School Board Member, District 4	no-trusted-result
1087	Linda Prescott	local	School Board Chair, District 1	no-trusted-result
1090	Mark Johnson	local	School Board Member, District 4	no-trusted-result
1091	Shannon Rodriguez	local	School Board Member, District 5	no-trusted-result
1092	Virginia Bryant	local	School Board Chair, District 1	no-trusted-result
1093	Thomas Kennedy	local	School Board Member, District 2	no-trusted-result
1094	Ginger Bryant	local	School Board Member, District 3	no-trusted-result
1095	Sandy Counts	local	School Board Member, District 4	no-trusted-result
